,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,Competition,Country
0,1.0,Genk,20.0,13.0,3.0,4.0,40.0,27.0,13.0,42.0,2.1,43.5,23.1,20.3,1.02,D W L W D,18493.0,Tolu Arokodare - 13,Hendrik Van Crombrugge,,Belgian Pro League,be BEL
1,2.0,Club Brugge,20.0,12.0,5.0,3.0,44.0,23.0,21.0,41.0,2.05,41.9,23.0,18.9,0.95,W W W D W,22512.0,Andreas Skov Olsen - 8,Simon Mignolet,,Belgian Pro League,be BEL
2,3.0,Anderlecht,19.0,9.0,6.0,4.0,34.0,15.0,19.0,33.0,1.74,30.8,28.2,2.7,0.14,W D W W L,16471.0,Kasper Dolberg - 12,Colin Coosemans,,Belgian Pro League,be BEL
3,4.0,Antwerp,20.0,9.0,5.0,6.0,36.0,21.0,15.0,32.0,1.6,27.7,27.7,0.0,0.0,L L D W D,13258.0,Tjaronn Chery - 8,Senne Lammens,,Belgian Pro League,be BEL
4,5.0,Union SG,20.0,7.0,10.0,3.0,28.0,18.0,10.0,31.0,1.55,33.8,22.8,10.9,0.55,W D W D W,7866.0,Franjo Ivanović - 6,Anthony Moris,,Belgian Pro League,be BEL
5,6.0,Gent,20.0,8.0,6.0,6.0,30.0,24.0,6.0,30.0,1.5,26.4,33.6,-7.2,-0.36,D W D W L,13520.0,Max Dean - 6,Davy Roef,,Belgian Pro League,be BEL
6,,,,,,,,,,,,,,,,,,,,,Belgian Pro League,be BEL
7,7.0,Charleroi,20.0,8.0,3.0,9.0,21.0,23.0,-2.0,27.0,1.35,32.3,23.3,9.0,0.45,D W L W W,9007.0,Daan Heymans - 8,Mohamed Koné,,Belgian Pro League,be BEL
8,8.0,Mechelen,20.0,7.0,6.0,7.0,35.0,26.0,9.0,27.0,1.35,30.3,29.8,0.5,0.02,L L D D D,13003.0,Benito Raman - 6,Ortwin De Wolf,,Belgian Pro League,be BEL
9,9.0,Standard Liège,20.0,6.0,7.0,7.0,12.0,21.0,-9.0,25.0,1.25,21.8,28.4,-6.5,-0.33,D D D L D,17375.0,Andi Zeqiri - 6,Matthieu Epolo,,Belgian Pro League,be BEL
10,10.0,Dender,19.0,6.0,6.0,7.0,24.0,31.0,-7.0,24.0,1.26,18.9,28.0,-9.1,-0.48,D L W W L,4074.0,"Aurélien Scheidler, Mohamed Berte - 4",Michael Verrips,,Belgian Pro League,be BEL
11,11.0,Westerlo,20.0,6.0,5.0,9.0,34.0,34.0,0.0,23.0,1.15,33.5,34.9,-1.4,-0.07,D L L D L,5947.0,"Allahyar Sayyadmanesh, Matija Frigan... - 6",Sinan Bolat,,Belgian Pro League,be BEL
12,12.0,OH Leuven,19.0,4.0,10.0,5.0,17.0,21.0,-4.0,22.0,1.16,19.3,20.7,-1.4,-0.07,D D D W L,8468.0,"Youssef Maziz, Ignace N'Dri - 3",Tobe Leysen,,Belgian Pro League,be BEL
13,,,,,,,,,,,,,,,,,,,,,Belgian Pro League,be BEL
14,13.0,Cercle Brugge,19.0,5.0,5.0,9.0,20.0,31.0,-11.0,20.0,1.05,25.9,31.7,-5.9,-0.31,L L D D W,5064.0,Kévin Denkey - 10,Maxime Delanghe,,Belgian Pro League,be BEL
15,14.0,Kortrijk,20.0,5.0,3.0,12.0,17.0,39.0,-22.0,18.0,0.9,19.8,30.8,-11.0,-0.55,W L L D L,6706.0,Nacho Ferri - 6,Patrik Gunnarsson,,Belgian Pro League,be BEL
16,15.0,Sint-Truiden,19.0,4.0,6.0,9.0,23.0,39.0,-16.0,18.0,0.95,24.6,29.9,-5.3,-0.28,L D L L L,6274.0,Adriano Bertaccini - 11,Leo Kokubo,,Belgian Pro League,be BEL
17,16.0,Beerschot,19.0,2.0,6.0,11.0,18.0,40.0,-22.0,12.0,0.63,19.3,34.0,-14.7,-0.81,L W L D D,5787.0,Marwan Al Sahafi - 5,Nick Shinton,,Belgian Pro League,be BEL
0,1.0,Liverpool,17.0,13.0,3.0,1.0,40.0,17.0,23.0,42.0,2.47,38.2,16.3,21.9,1.29,W D D W W,60277.0,Mohamed Salah - 16,Alisson,,Premier League,eng ENG
1,2.0,Chelsea,18.0,10.0,5.0,3.0,38.0,21.0,17.0,35.0,1.94,36.5,26.1,10.4,0.58,W W W D L,39730.0,Cole Palmer - 12,Robert Sánchez,,Premier League,eng ENG
2,3.0,Nott'ham Forest,18.0,10.0,4.0,4.0,24.0,19.0,5.0,34.0,1.89,21.7,18.9,2.9,0.16,L W W W W,30008.0,Chris Wood - 10,Matz Sels,,Premier League,eng ENG
3,4.0,Arsenal,17.0,9.0,6.0,2.0,34.0,16.0,18.0,33.0,1.94,29.3,15.8,13.5,0.79,W W D D W,60291.0,Kai Havertz - 6,David Raya,,Premier League,eng ENG
4,5.0,Newcastle Utd,18.0,8.0,5.0,5.0,30.0,21.0,9.0,29.0,1.61,30.3,21.7,8.6,0.48,D L W W W,52206.0,Alexander Isak - 11,Nick Pope,,Premier League,eng ENG
5,6.0,Bournemouth,18.0,8.0,5.0,5.0,27.0,21.0,6.0,29.0,1.61,35.4,22.7,12.7,0.71,W W D W D,11208.0,Justin Kluivert - 6,Kepa Arrizabalaga,,Premier League,eng ENG
6,7.0,Manchester City,18.0,8.0,4.0,6.0,30.0,26.0,4.0,28.0,1.56,32.8,25.6,7.1,0.4,W D L L D,52679.0,Erling Haaland - 13,Ederson,,Premier League,eng ENG
7,8.0,Fulham,18.0,7.0,7.0,4.0,26.0,23.0,3.0,28.0,1.56,24.6,21.5,3.1,0.17,W D D D W,26237.0,"Raúl Jiménez, Alex Iwobi - 5",Bernd Leno,,Premier League,eng ENG
8,9.0,Aston Villa,18.0,8.0,4.0,6.0,26.0,29.0,-3.0,28.0,1.56,27.4,22.9,4.6,0.25,W W L W L,41901.0,"Ollie Watkins, Jhon Durán - 7",Emiliano Martínez,,Premier League,eng ENG
9,10.0,Brighton,17.0,6.0,7.0,4.0,27.0,26.0,1.0,25.0,1.47,23.9,26.8,-2.9,-0.17,D L D L D,32754.0,Danny Welbeck - 6,Bart Verbruggen,,Premier League,eng ENG
10,11.0,Tottenham,18.0,7.0,2.0,9.0,39.0,26.0,13.0,23.0,1.28,32.7,30.4,2.3,0.13,L L W L L,61350.0,James Maddison - 8,Guglielmo Vicario,,Premier League,eng ENG
11,12.0,Brentford,17.0,7.0,2.0,8.0,32.0,32.0,0.0,23.0,1.35,26.1,28.5,-2.4,-0.14,W L W L L,16992.0,Bryan Mbeumo - 10,Mark Flekken,,Premier League,eng ENG
12,13.0,West Ham,18.0,6.0,5.0,7.0,23.0,30.0,-7.0,23.0,1.28,26.4,31.0,-4.6,-0.25,L W D D W,62470.0,Jarrod Bowen - 5,Łukasz Fabiański,,Premier League,eng ENG
13,14.0,Manchester Utd,18.0,6.0,4.0,8.0,21.0,24.0,-3.0,22.0,1.22,25.8,25.2,0.6,0.03,L L W L L,73702.0,"Bruno Fernandes, Marcus Rashford - 4",André Onana,,Premier League,eng ENG
14,15.0,Everton,17.0,3.0,8.0,6.0,15.0,22.0,-7.0,17.0,1.0,16.5,23.4,-6.9,-0.4,L W D D D,39010.0,"Dwight McNeil, Iliman Ndiaye - 3",Jordan Pickford,,Premier League,eng ENG
15,16.0,Crystal Palace,18.0,3.0,8.0,7.0,18.0,26.0,-8.0,17.0,0.94,23.9,26.0,-2.1,-0.11,W D W L D,25140.0,"Ismaila Sarr, Jean-Philippe Mateta - 4",Dean Henderson,,Premier League,eng ENG
16,17.0,Wolves,18.0,4.0,3.0,11.0,29.0,40.0,-11.0,15.0,0.83,18.7,28.4,-9.7,-0.54,L L L W W,30538.0,Matheus Cunha - 10,José Sá,,Premier League,eng ENG
17,18.0,Leicester City,18.0,3.0,5.0,10.0,22.0,40.0,-18.0,14.0,0.78,17.5,36.6,-19.0,-1.06,W D L L L,31705.0,Jamie Vardy - 6,Mads Hermansen,,Premier League,eng ENG
18,19.0,Ipswich Town,17.0,2.0,6.0,9.0,16.0,32.0,-16.0,12.0,0.71,15.9,35.0,-19.1,-1.12,L L L W L,29746.0,Liam Delap - 6,Arijanet Muric,,Premier League,eng ENG
19,20.0,Southampton,18.0,1.0,3.0,14.0,11.0,37.0,-26.0,6.0,0.33,18.5,39.6,-21.1,-1.17,L L L D L,31147.0,"Adam Armstrong, Joe Aribo... - 2",Aaron Ramsdale,,Premier League,eng ENG
0,1.0,Atlético Madrid,18.0,12.0,5.0,1.0,33.0,12.0,21.0,41.0,2.28,29.6,15.1,14.5,0.8,W W W W W,60536.0,Alexander Sørloth - 8,Jan Oblak,,La Liga,es ESP
1,2.0,Real Madrid,18.0,12.0,4.0,2.0,41.0,18.0,23.0,40.0,2.22,32.4,17.5,14.9,0.83,W L W D W,66898.0,Kylian Mbappé - 10,Thibaut Courtois,,La Liga,es ESP
2,3.0,Barcelona,19.0,12.0,2.0,5.0,51.0,22.0,29.0,38.0,2.0,47.5,23.4,24.1,1.27,L W D L L,45200.0,Robert Lewandowski - 16,Iñaki Peña,,La Liga,es ESP
3,4.0,Athletic Club,19.0,10.0,6.0,3.0,29.0,17.0,12.0,36.0,1.89,25.7,18.1,7.6,0.4,W W W D W,48503.0,Oihan Sancet - 7,Julen Agirrezabala,,La Liga,es ESP
4,5.0,Villarreal,18.0,8.0,6.0,4.0,34.0,30.0,4.0,30.0,1.67,31.3,21.5,9.8,0.55,D L L D W,18770.0,Ayoze Pérez - 8,Diego Conde,,La Liga,es ESP
5,6.0,Mallorca,19.0,9.0,3.0,7.0,19.0,21.0,-2.0,30.0,1.58,21.3,20.7,0.7,0.04,W L L W W,19246.0,Cyle Larin - 5,Dominik Greif,,La Liga,es ESP
6,7.0,Real Sociedad,18.0,7.0,4.0,7.0,16.0,13.0,3.0,25.0,1.39,21.6,18.3,3.3,0.18,L W W D L,32498.0,Mikel Oyarzabal - 4,Álex Remiro,,La Liga,es ESP
7,8.0,Girona,18.0,7.0,4.0,7.0,26.0,25.0,1.0,25.0,1.39,23.7,18.2,5.5,0.31,W D L L W,12455.0,Cristhian Stuani - 4,Paulo Gazzaniga,,La Liga,es ESP
8,9.0,Betis,18.0,6.0,7.0,5.0,21.0,22.0,-1.0,25.0,1.39,28.0,23.7,4.4,0.24,L L D W D,51368.0,Giovani Lo Celso - 7,Rui Silva,,La Liga,es ESP
9,10.0,Osasuna,18.0,6.0,7.0,5.0,23.0,27.0,-4.0,25.0,1.39,18.2,24.1,-5.9,-0.33,D D D D L,20225.0,Ante Budimir - 10,Sergio Herrera,,La Liga,es ESP
